GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenGIS KML Model,org.bremersee.oasis.xal,ThoroughfareNameType,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostalRouteType.PostalRouteName,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressDetails.Address,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,ObjectFactory,339,0,0,0,86,0,85,0,85,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressLinesType,33,0,4,0,9,0,6,0,4,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostBox.PostBoxNumberPrefix,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressDetails.PostalServiceElements.AddressLongitude,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,Department,65,0,6,0,21,0,14,0,11,0
OpenGIS KML Model,org.bremersee.oasis.xal,Premise.PremiseName,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,ThoroughfareNumberPrefix,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,LargeMailUserType,97,0,8,0,33,0,22,0,18,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressDetails.Country,76,0,8,0,24,0,16,0,12,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostalRouteType.PostalRouteNumber,25,0,0,0,9,0,6,0,6,0
OpenGIS KML Model,org.bremersee.oasis.xal,PremiseNumberSuffix,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostBox.PostBoxNumberExtension,25,0,0,0,9,0,6,0,6,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressDetails,120,0,2,0,48,0,32,0,31,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostalRouteType,65,0,6,0,21,0,14,0,11,0
OpenGIS KML Model,org.bremersee.oasis.xal,ThoroughfareLeadingTypeType,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,Department.DepartmentName,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,SubPremiseType.SubPremiseNumberPrefix,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,Locality.LocalityName,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,Premise.PremiseNumberRange.PremiseNumberRangeTo,47,0,8,0,13,0,9,0,5,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostalCode.PostTown.PostTownSuffix,25,0,0,0,9,0,6,0,6,0
OpenGIS KML Model,org.bremersee.oasis.xal,AddressDetails.PostalServiceElements.AddressLatitudeDirection,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,CountryName,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,ThoroughfareTrailingTypeType,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,Locality,121,0,6,0,45,0,30,0,27,0
OpenGIS KML Model,org.bremersee.oasis.xal,ThoroughfarePreDirectionType,32,0,0,0,12,0,8,0,8,0
OpenGIS KML Model,org.bremersee.oasis.xal,PremiseNumberPrefix,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,Premise.PremiseNumberRange.PremiseNumberRangeFrom,47,0,8,0,13,0,9,0,5,0
OpenGIS KML Model,org.bremersee.oasis.xal,SubPremiseType.SubPremiseLocation,17,0,0,0,7,0,5,0,5,0
OpenGIS KML Model,org.bremersee.oasis.xal,SubPremiseType.SubPremiseName,39,0,0,0,15,0,10,0,10,0
OpenGIS KML Model,org.bremersee.oasis.xal,PremiseNumber,60,0,0,0,24,0,16,0,16,0
OpenGIS KML Model,org.bremersee.oasis.xal,PostOffice.PostOfficeNumber,39,0,0,0,15,0,10,0,10,0
